year,scope,electricity_twh,share_us_electricity_percent,scenario,scenario_label,source_title,source_url,note
2014,us_data_centers,58,,historical,历史估计,LBNL/DOE 2024 United States Data Center Energy Usage Report,https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report.pdf,"Historical estimate reported in the LBNL/DOE study."
2018,us_data_centers,76,,historical,历史估计,LBNL/DOE 2024 United States Data Center Energy Usage Report,https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report.pdf,"Historical estimate reported in the LBNL/DOE study."
2023,us_data_centers,176,4.4,current,当前估计,LBNL/DOE 2024 United States Data Center Energy Usage Report,https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report.pdf,"Estimated data-centre electricity use and share of total US electricity consumption in 2023."
2028,us_data_centers,325,6.7,low_projection,低情景,LBNL/DOE 2024 United States Data Center Energy Usage Report,https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report.pdf,"Low projection for 2028."
2028,us_data_centers,580,12.0,high_projection,高情景,LBNL/DOE 2024 United States Data Center Energy Usage Report,https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report.pdf,"High projection for 2028."
